FID,PathDesign,PathDescription,RouteID,RouteDescription,Statement,geom
activetravel_routesection_approvedroutes.470,tf_footway,Footway (alongside road),VALE-BA-P0020,Barry:VALE-BA-P0020 - Barry Island Station to Friars road,,"MULTILINESTRING ((311528.8603654873 166699.84042166854, 311548.67981382064 166703.00388671784, 311608.31259348214 166722.55655150895, 311658.69596113474 166740.52014284662, 311706.4212455352 166757.21580770303, 311718.23275265313 166760.67877911113, 311721.61196773546 166752.9552653021, 311741.7225120079 166760.2722123058, 311773.89229416224 166766.50483587862, 311795.23375919054 166768.76407313254, 311817.65729501465 166770.12777111027, 311843.1580784675 166771.65799746476, 311886.49199509027 166775.72649297625, 311891.99156118196 166776.2885696015, 311894.47218213347 166775.5879333357, 311920.94272469357 166782.35941221588, 311921.82355731365 166782.56200531358, 311924.5449045351 166762.14530049404))"
activetravel_routesection_approvedroutes.474,tf_shared,Shared use footpath/cycle track (alongside road),Gwyn-Ban-P0010,Bangor:Gwyn-Ban-P0010 - Rail Station - Town Centre - Bus Station,,"MULTILINESTRING ((257553.68840143157 371682.36742857395, 257558.37140017046 371685.4624277369, 257562.5463990464 371688.0274270423, 257568.99139731092 371692.6944257775, 257572.12439646746 371702.64142308326, 257648.69037585187 371777.6564027716, 257661.9753722745 371777.9044027063, 257669.20537032766 371782.08240157587, 257675.17136872135 371787.63740007096, 257674.6523688615 371801.76339624403, 257736.37435224222 371862.43637981947, 257742.1293506924 371867.1443785379, 257761.1113455808 371870.4643776426, 257763.04734505952 371870.80337755155, 257773.75934217477 371873.84437673003, 257780.21334043692 371877.5083757375, 257783.4453395665 371880.2213750032, 257790.24833773475 371885.9693734465, 257788.0393383299 371893.87137130415))"
activetravel_routesection_approvedroutes.475,tf_footway,Footway (alongside road),Gwyn-Ban-P0010,Bangor:Gwyn-Ban-P0010 - Rail Station - Town Centre - Bus Station,,"MULTILINESTRING ((257788.0393383299 371893.87137130415, 257786.68833869405 371901.34136928467, 257821.99332918672 371913.6973659384, 257842.34232370704 371924.9543628915, 257877.3093142909 371944.29935765086, 257884.66931230915 371950.69835592416, 257904.37630700236 371967.61035134393, 257928.74230044123 371987.2983460096, 257979.1092868782 372028.1483349507, 257983.99028556384 372028.77733478165, 257989.03928420402 372029.8713344871, 257992.039283396 372029.87133448647, 257994.03928285756 372029.87133448734, 258000.03928124154 372027.87133503053, 258005.97927964161 372026.5923353763, 258019.03927612436 372023.8713361141, 258023.03927504717 372023.87133611314, 258026.0392742393 372023.87133611634, 258032.0392726234 372023.87133611867, 258032.1702725881 372023.87133611366, 258035.0392718156 372023.8713361188, 258039.03927073802 372021.87133665907, 258065.03926373547 372010.8713396391, 258070.03926238895 372008.87134018366, 258075.03926104214 372006.87134072575, 258079.0392599649 372002.87134181085))"
activetravel_routesection_approvedroutes.476,ped_zone,Pedestrian zone,Gwyn-Ban-P0010,Bangor:Gwyn-Ban-P0010 - Rail Station - Town Centre - Bus Station,,"MULTILINESTRING ((258079.0392599649 372002.87134181085, 258086.43925797183 372004.8753412673, 258091.4412566248 372005.97234097257, 258109.2392518317 372009.8753399183, 258126.63924714553 372012.87533910456, 258136.83924439858 372016.07533824135, 258150.23924078982 372021.8753366714, 258176.33123376317 372038.0843322821, 258176.63923368006 372038.27533222805, 258201.23922705537 372053.07532822393, 258220.83922177684 372066.4753245954, 258221.85422150342 372067.71532425756, 258226.2392203227 372073.07532280433, 258234.6922180464 372083.8773198797, 258244.31021545685 372103.6583145288, 258253.83921289083 372123.8753090487, 258258.2392117062 372135.47530590935, 258251.03921364556 372142.4753040141, 258242.83921585442 372147.07530276553, 258222.62522129895 372158.89329955925, 258209.0392249583 372167.0752973442, 258199.9272274125 372170.29729646945, 258195.0392287291 372171.8712960427))"
activetravel_routesection_approvedroutes.477,tf_footway,Footway (alongside road),Gwyn-Ban-P0010,Bangor:Gwyn-Ban-P0010 - Rail Station - Town Centre - Bus Station,,"MULTILINESTRING ((258195.0392287291 372171.8712960427, 258195.03922872912 372174.8712952304, 258193.03922926815 372183.8712927948, 258172.11023490631 372230.2782802199, 258170.03923546412 372234.8712789768, 258165.0392368114 372248.8712751823, 258165.00323682104 372248.95927515934, 258158.0392386971 372265.8712705772, 258151.03924058285 372279.8712667854, 258146.03924192974 372286.8712648894, 258140.03924354567 372291.87126352947, 258135.43924478494 372296.6672622345))"
activetravel_routesection_approvedroutes.486,tf_foot,Footpath (away from road),Gwyn-Ban-P0050,Bangor:Gwyn-Ban-P0050 - Maesgetchian to High Street,,"MULTILINESTRING ((258822.78605964093 372006.9243407885, 258819.62806049178 372010.13633991766, 258835.68905616674 372052.49632844, 258836.6220559156 372053.08832828543, 258850.81805209292 372089.01331855485, 258860.35404952502 372115.8463112885, 258865.66904809378 372128.48830786085, 258865.159048231 372128.3713078921, 258872.48904625722 372147.3963027389, 258883.2890433488 372169.64629671356, 258897.01403965242 372191.9712906664, 258920.78903324925 372226.9462812001, 258922.806032706 372228.92128066404, 258929.11403100705 372239.0212779254, 258930.7060305783 372243.38827674516))"
activetravel_routesection_approvedroutes.599,no_footway,Road without footway,Pow-New-C0010,Newtown:Pow-New-C0010 - Llanllwchaiarn - Town Centre (Parkers Lane) via Riverside,,"MULTILINESTRING ((312155.10163014714 292464.1858947329, 312161.38962844206 292452.26889796235, 312122.1906390609 292432.5029033108, 312068.0246537339 292403.9309110477, 311996.75867303926 292367.06192102813, 311955.4436842309 292344.4269271531, 311915.9816949202 292318.99493403925, 311907.1176973212 292312.8669356979, 311885.30170323077 292299.23093938676, 311862.12470950885 292284.2349434479, 311828.7157185585 292262.42194935505, 311770.769734256 292237.8789559973))"
activetravel_routesection_approvedroutes.478,tf_footway,Footway (alongside road),Gwyn-Ban-P0020,Bangor:Gwyn-Ban-P0020 - Hospital - Rail Station,,"MULTILINESTRING ((257430.52143459572 371625.45644397516, 257427.478435415 371623.3404445487, 257426.1434357744 371615.6094466463, 257425.3614359845 371603.0994500302, 257429.4094348936 371579.61345639295, 257432.3484341021 371573.8704579493, 257435.2704333152 371568.1614594975, 257442.41443139105 371557.9744622584, 257451.5424289329 371550.0374644063, 257459.68742673963 371541.21946679906, 257493.4844176375 371506.497476207, 257496.03941694956 371504.87147664675, 257500.03941587236 371500.8714777304, 257507.0394139873 371492.87147990015, 257500.03941587204 371488.8714809841, 257482.03942071836 371473.8714850398, 257473.03942314183 371465.8714872108, 257458.80542697432 371455.4254900393, 257447.0394301424 371456.87148964335, 257410.0394401054 371447.87149207783, 257388.03944602917 371442.8714934306, 257375.03944952966 371441.8714936997, 257356.39745454933 371441.87149369915, 257356.0394546457 371441.8714936989, 257349.0394565307 371442.8714934266, 257336.03946003123 371444.87149288505, 257326.0394627239 371444.87149288063, 257288.03947295574 371438.8714945029, 257281.03947484054 371436.8714950413, 257243.03948507202 371425.87149801874, 257230.03948857228 371422.8714988325, 257209.03949422663 371414.87150099775, 257204.8094953654 371413.4665013769, 257183.03950122697 371404.8715037044, 257173.03950391943 371400.87150478695, 257156.0395084963 371391.87150722236, 257147.03951091957 371385.8715088454, 257142.03951226568 371381.8715099288, 257134.03951441942 371373.87151209597, 257129.0395157656 371367.8715137216, 257124.03951711155 371359.87151588686, 257119.03951845737 371348.8715188647, 257117.03951899576 371344.8715199508, 257108.03952141874 371329.8715240109, 257101.03952330325 371321.8715261792, 257094.03952518772 371315.8715278029, 257092.3365256461 371314.56552815647, 257064.03953326435 371292.8715340305, 257043.0395389181 371277.8715380891, 257023.03954430274 371266.8715410688, 257000.03955049498 371254.8715443199, 256994.03955211033 371252.8715448593, 256970.03955857182 371245.87154675025, 256953.94656290466 371241.482547941, 256948.03956449497 371239.87154837506, 256934.03956826444 371235.8715494586, 256930.03956934108 371235.50754955463, 256917.78957263933 371234.39254985674, 256893.03957930254 371223.8715527032, 256883.03958199453 371217.87155432673, 256875.03958414827 371210.8715562201, 256850.0395908785 371190.87156163715, 256789.03960730007 371139.87157544645, 256750.03961779882 371107.92858409614, 256678.30663710923 371048.6426001465, 256665.03964068083 371038.87160279293, 256613.03965467867 370999.87161334837, 256601.0396579091 370991.87161551695, 256584.03966248533 370975.87161984824, 256571.03966598457 370961.87162363797, 256564.03966786893 370952.8716260743, 256549.0396719064 370930.8716320356, 256544.03967325206 370921.8716344724, 256529.0396772895 370895.87164151104, 256519.0396799811 370879.87164584553, 256507.03968321098 370862.8716504503, 256500.03968509525 370854.8716526158, 256486.03968886388 370843.8716555958, 256482.03968994052 370840.8716564045, 256472.0396926325 370833.8716583009, 256453.03969774698 370823.8716610089, 256429.0397042076 370814.87166344305, 256417.03970743806 370811.87166425487, 256396.03971309093 370805.8716658806, 256391.778714238 370804.9246661331, 256366.03972116672 370799.8716675011, 256351.03972520464 370795.8716685848, 256331.0397305883 370787.8716707486, 256319.0397338184 370782.8716720995, 256308.03973677932 370775.87167399406, 256296.03974000955 370767.87167616363, 256269.03974727707 370747.87168157747, 256228.03975831263 370715.8716902399, 256215.03976181196 370705.87169294944, 256195.03976719515 370688.87169755116, 256190.039768541 370684.8716986359, 256185.03976988673 370680.8716997157, 256164.03977553913 370657.8717059478, 256156.03977769217 370650.87170783896, 256143.03978119133 370639.87171082164, 256117.0397881893 370617.87171677675, 256104.0397916883 370608.8717192113, 256095.0397941107 370601.87172110577, 256071.03980057035 370585.8717254387, 256060.03980353114 370577.8717276041, 256007.0398177964 370542.87173707946, 256000.03981968036 370539.871737892, 255969.0398280241 370516.87174412084, 255944.0398347528 370499.87174872117, 255905.0398452495 370475.8717552216, 255898.03984713342 370470.87175657175, 255884.03985090143 370461.871759009, 255858.03985789928 370444.8717636142, 255846.03986112878 370436.87176577386, 255825.0398667808 370422.8717695649, 255817.039868934 370417.8717709219, 255800.03987350932 370407.8717736266, 255783.03987808447 370391.87177796033))"
activetravel_routesection_approvedroutes.479,tf_footway,Footway (alongside road),Gwyn-Ban-P0030,Bangor:Gwyn-Ban-P0030 - Rail Station - Ffriddoedd Road - Belmont Road,,"MULTILINESTRING ((257357.8530231351 371798.5610589962, 257310.8108462381 371771.54380262527, 257278.87190732363 371782.15302666876, 257279.05094892066 371782.1476690353))"
activetravel_routesection_approvedroutes.480,tf_footway,Footway (alongside road),Gwyn-Ban-P0030,Bangor:Gwyn-Ban-P0030 - Rail Station - Ffriddoedd Road - Belmont Road,,"MULTILINESTRING ((257544.73140384376 371692.99242569524, 257553.03940160671 371697.87142437405, 257547.14040319572 371711.8874205779, 257544.03940403083 371720.87141814275, 257542.03940456983 371729.8714157048, 257540.03940510878 371740.87141272385, 257539.0014053885 371749.8714102905, 257537.21640586964 371765.3414060951, 257534.27240666238 371765.49940605526, 257530.2884077352 371765.1014061595, 257525.30840907618 371764.1054064311, 257517.73841111467 371762.7104068081, 257505.78741433276 371759.9224075612, 257497.2214166393 371757.93040809996, 257493.03841776573 371757.13340831705, 257487.8594191602 371755.938408639, 257482.08242071574 371754.1454091243, 257475.50942248557 371750.16141020186, 257474.80842267425 371749.8714102811, 257469.7324240411 371747.77141085046, 257465.350425221 371744.9824116061, 257460.968426401 371744.3844117649, 257458.776426991 371745.3804114965, 257455.40942789795 371749.8714102791, 257446.82543020992 371761.31640717894, 257443.83743101452 371765.1014061511, 257440.65043187267 371766.8934056681, 257435.47143326746 371769.28440501785, 257432.0844341795 371770.6784046417, 257428.49943514483 371771.2764044781, 257425.5114359496 371773.2684039378, 257414.75443884602 371778.24840258784, 257405.39244136732 371783.42740118597, 257397.22544356642 371786.6144003191, 257391.05044522896 371788.20739988785, 257387.2654462486 371790.19939934864, 257383.2814473213 371792.7893986456, 257379.29844839385 371794.38239821454, 257373.52144994965 371796.37439767644, 257367.744451505 371797.96839723916, 257362.36645295325 371798.9643969714, 257358.38245402594 371798.5663970791))"
activetravel_routesection_approvedroutes.481,tf_footway,Footway (alongside road),Gwyn-Ban-P0030,Bangor:Gwyn-Ban-P0030 - Rail Station - Ffriddoedd Road - Belmont Road,,"MULTILINESTRING ((257198.03949720113 371829.8713885834, 257175.03950339367 371815.87139237556, 257107.7395215131 371782.1154015078, 257056.03953543247 371752.8714094293, 257051.40353668047 371749.87141023786, 257039.03954000922 371741.87141240604, 257032.03954189373 371735.87141402764, 257017.0395459321 371721.87141782313, 257011.03954754732 371717.8714189048, 257004.23054938036 371713.13142018433, 256984.03955481615 371697.8714243185, 256964.03956020047 371681.8714286508, 256930.0395693536 371649.0244375433, 256905.03957608368 371624.8714440844, 256885.03958146786 371606.87144895823, 256848.0395914288 371578.87145653804, 256822.03959842792 371558.87146195193, 256805.03960300444 371544.87146574364, 256765.03961377253 371513.8714741339, 256750.0396178107 371501.51847748196, 256748.03961834902 371499.87147792423, 256702.03963073212 371463.87148767523, 256683.0396358468 371449.87149146356, 256744.0396194221 371372.8715123281, 256750.03961780638 371366.30051410774, 256765.0396137676 371349.8715185583, 256769.0396126907 371345.87151964364, 256805.0396029976 371313.8715283183, 256821.0395986895 371299.8715321086, 256826.03959734325 371296.8715329213, 256840.03959357372 371289.871534815, 256917.03957284198 371259.8715429559, 256922.0395714956 371259.87154295587, 256927.0395701496 371260.8715426834, 256930.03956934199 371261.62154248275, 256931.03956907266 371261.87154241285, 256935.0395679958 371263.8715418726, 256939.03956691886 371266.87154105876, 256943.039565842 371270.87153997767, 256959.1065615169 371290.3205347105, 257000.03955049755 371339.87152129225, 257023.03954430576 371371.8715126264, 257033.03954161392 371386.87150856317, 257055.03953569164 371420.8714993559, 257062.03953380723 371434.8714955651, 257080.03952896196 371473.8714849997, 257091.03952600106 371499.871477959, 257100.94052333588 371529.5734699157, 257102.0395230402 371532.871469021, 257108.03952142553 371553.8714633371, 257115.03951954152 371577.8714568377, 257116.03951927225 371585.87145466806, 257116.0395192725 371590.5584533995, 257116.03951927283 371597.58345149586, 257116.03951927266 371598.8714511443, 257116.03951927312 371603.87144979433, 257113.03952008113 371614.8714468124, 257108.0395214275 371623.87144437275, 257107.0225217015 371625.0014440673, 257099.03952385113 371633.87144166295, 257057.03953516058 371670.87143163563, 257023.0395443159 371703.87142269855, 257011.03954754732 371717.8714189048))"
activetravel_routesection_approvedroutes.482,tf_foot,Footpath (away from road),Gwyn-Ban-P0030,Bangor:Gwyn-Ban-P0030 - Rail Station - Ffriddoedd Road - Belmont Road,,"MULTILINESTRING ((257278.17727261147 371782.2535028345, 257215.09082078413 371805.951640441, 257197.8926553114 371830.06404659804))"
activetravel_routesection_approvedroutes.502,tf_footway,Footway (alongside road),Gwyn-Ban-P0070,Bangor:Gwyn-Ban-P0070 - Lower - Upper Bangor,,"MULTILINESTRING ((257916.0393038656 372091.8713176849, 257907.03930628957 372097.87131606, 257850.97132139 372135.6863058101, 257846.03932271837 372139.87130467757, 257841.03932406506 372141.8713041345, 257838.03932487298 372141.87130413664, 257836.03932541155 372141.8713041347, 257831.039326758 372139.87130467803, 257814.58933118748 372126.45130830834, 257793.0393369904 372108.87131306966, 257786.03933887507 372102.8713146928, 257785.03933914442 372102.8713146951, 257781.03934022164 372100.8713152361, 257769.03934345313 372097.8713160443, 257750.03934856958 372093.8713171271, 257744.03935018522 372091.87131766847, 257741.87735076746 372090.79031796067, 257726.0393550322 372082.87132010283, 257723.03935584004 372081.8713203744, 257715.03935799442 372080.87132064387, 257692.0393641882 372080.87132064265, 257686.0393658039 372080.8713206391, 257685.97236582194 372080.88432063814, 257676.03936849683 372082.8713201012, 257653.03937469074 372088.871318471, 257643.03937738363 372093.87131711515, 257641.03937792225 372094.8713168428, 257637.03937899967 372097.871316035, 257617.03938438586 372117.87131061405))"
activetravel_routesection_approvedroutes.483,tf_footway,Footway (alongside road),Gwyn-Ban-P0040,Bangor:Gwyn-Ban-P0040 - Rail Station - Caernarfon Road,,"MULTILINESTRING ((257430.52143459572 371625.45644397516, 257427.478435415 371623.3404445487, 257426.1434357744 371615.6094466463, 257425.3614359845 371603.0994500302, 257429.4094348936 371579.61345639295, 257432.3484341021 371573.8704579493, 257435.2704333152 371568.1614594975, 257442.41443139105 371557.9744622584, 257451.5424289329 371550.0374644063, 257459.68742673963 371541.21946679906, 257493.4844176375 371506.497476207, 257496.03941694956 371504.87147664675, 257500.03941587236 371500.8714777304, 257507.0394139873 371492.87147990015, 257500.03941587204 371488.8714809841, 257482.03942071836 371473.8714850398, 257473.03942314183 371465.8714872108, 257458.80542697432 371455.4254900393, 257456.56442757745 371445.77549265086, 257380.03944818082 371359.87151591387, 257377.03944898836 371355.8715169948, 257341.03945868096 371321.8715262034, 257269.0394780662 371263.8715419075, 257256.1904815257 371251.0225453826, 257254.03948210485 371248.8715459663, 257245.03948452778 371236.87154921785, 257238.03948641205 371223.8715527367, 257235.03948721976 371218.87155409175, 257219.18649148685 371171.0695670384, 257214.03949287225 371156.87157088355, 257203.03949583328 371129.87157819606, 257197.03949744825 371113.87158252724, 257194.35849817016 371107.14658434957, 257177.98750257702 371070.6405942383, 257176.8535028822 371068.1115949214, 257170.56150457592 371060.24759705324, 257170.7195045335 371056.47259807837, 257162.86250664853 371043.6506015474, 257163.02050660597 371043.34160162846, 257163.77250640345 371038.5926029162, 257163.0205066057 371033.84460420336, 257160.83750719327 371029.56060536305, 257157.43750810873 371026.1606062867, 257157.11950819424 371020.8286077273, 257155.6015086028 371013.240609783, 257150.4975099769 371005.92961176386, 257147.03951090758 370999.8716134037, 257137.06851359174 370982.2916181631, 257115.08751950916 370943.53462866484, 257109.03952113717 370932.87163154746, 257079.03952921298 370878.87164617126, 257073.03953082807 370865.87164969405, 257058.0395348659 370840.87165646075, 257047.43053772204 370825.2376606995, 257039.03953998088 370812.87166404503, 257024.03954401912 370794.87166892155, 257021.03954482675 370789.87167027494, 257010.03954778798 370774.87167433643, 257000.03955047985 370761.87167785724, 256997.03955128745 370757.8716789444, 256985.03955451804 370742.8716830014, 256980.05455586 370735.2946850546, 256960.03956124777 370704.8716932923, 256942.03956609344 370679.87170005974, 256937.54556730328 370673.52370178286, 256931.03956905453 370665.871703857, 256930.03956932385 370664.7197041663, 256898.03957793844 370627.8717141463, 256868.03958601438 370593.87172335235, 256860.039588168 370584.87172579113, 256822.03959839747 370542.87173716037, 256782.03960916543 370499.871748802, 256752.03961724124 370468.87175719993, 256750.03961777978 370466.87175773684, 256749.03961804893 370465.8717580118, 256656.03964308367 370370.87178373575, 256630.0396500827 370343.8717910476, 256612.03965492806 370326.8717956486, 256593.03966004253 370308.8718005209, 256584.03966246534 370303.8718018747, 256577.03966434978 370299.8718029579, 256570.0396662343 370296.87180377275, 256557.039669734 370292.8718048537, 256546.03967269478 370278.8718086451, 256541.03967404063 370270.87181081297, 256540.03967430964 370265.8718121657, 256537.0396751171 370260.87181351986, 256526.03967807806 370247.87181703775, 256515.0396810391 370237.871819748, 256504.03968400008 370228.87182218477, 256500.0396850769 370225.87182299787, 256464.03969476733 370192.8718319305, 256430.0397039194 370159.87184086465, 256409.03970957184 370136.8718470916, 256397.9497125571 370125.78185009677, 256391.03971441713 370118.87185197097, 256367.03972087678 370091.87185928004, 256358.65272313455 370082.44986183173, 256358.19972325623 370078.11386300717, 256354.76972417958 370074.2298640582, 256349.78472552146 370072.5468645137, 256322.03973298936 370040.87187308917, 256293.03974079515 370011.8718809428, 256276.0397453712 369999.87188419164, 256270.00274699618 369992.3248862358))"
activetravel_routesection_approvedroutes.484,tf_foot,Footpath (away from road),Gwyn-Ban-P0050,Bangor:Gwyn-Ban-P0050 - Maesgetchian to High Street,,"MULTILINESTRING ((259023.71800553158 372491.9212094322, 259015.73900768135 372500.82120702154, 259011.4390088398 372507.6382051763, 259012.2060086332 372509.00420480594, 259013.44100830104 372520.0622018119, 259015.52900773883 372527.4831998004))"
activetravel_routesection_approvedroutes.487,no_footway,Road without footway,Gwyn-Ban-P0050,Bangor:Gwyn-Ban-P0050 - Maesgetchian to High Street,,"MULTILINESTRING ((258931.31203041502 372244.8332763552, 258948.03902591133 372303.87126036175, 258954.0390242959 372328.8712535919, 258960.0390226806 372351.87124736665, 258961.03902241142 372358.8712454688, 258961.03902241157 372364.871243841, 258966.0390210649 372369.8712424873, 258989.03901487004 372392.87123625836, 259000.03901190739 372405.8712327393, 259008.03900975254 372415.8712300319, 259012.0390086752 372422.8712281351, 259020.03900652062 372435.8712246138, 259022.03900598214 372441.8712229893, 259024.0390054435 372447.87122136744, 259026.0390049052 372459.871218115, 259026.0390049054 372464.87121676066, 259026.03900490538 372466.871216218, 259030.03900382807 372470.8712151364, 259032.0390032894 372475.8712137801, 259033.03900302007 372478.87121296936, 259034.039002751 372483.8712116122, 259033.0390030205 372485.8712110708, 259031.89300332914 372486.01021103514, 259023.13000568957 372487.07221074315, 259023.71800553158 372491.9212094322))"
activetravel_routesection_approvedroutes.488,tf_shared,Shared use footpath/cycle track (alongside road),Pow-Yst-C0040,Ystradgynlais:Pow-Yst-C0040 - Ysgol Gymraeg Dyffryn y Glowyr to NCN Route 43,,"MULTILINESTRING ((277305.2236310677 209875.89925976464, 277304.54857895116 209872.51764708268, 277309.8997626509 209867.21599530737, 277319.40450197144 209831.82092529442, 277319.0221848052 209822.2268613128, 277314.5092269649 209813.32459054637, 277299.94406702626 209805.258688082, 277284.98882330704 209799.41850680462, 277277.1898717045 209795.4720669301, 277275.31606033747 209791.52868318197, 277275.5645776938 209783.5074068465, 277303.6790352136 209745.88438865467, 277325.8656900081 209714.20504703402, 277347.34094930533 209671.57263548602, 277360.89938583353 209638.36752499978, 277372.4563225297 209595.9766344201, 277377.22105948784 209575.72925048228, 277379.69564150163 209555.72235199966, 277381.093953133 209540.17421871005, 277382.21742685966 209531.57714832778, 277385.0846950435 209527.6656128161, 277390.7504453273 209523.09480773495, 277398.0987434557 209520.6992659135, 277406.58782636974 209522.56075933255, 277420.32693879993 209527.1015419718, 277426.76855166093 209530.0472650709, 277456.4516456312 209556.65772974107, 277467.59556011815 209545.89563757478, 277462.984990891 209539.06365778617, 277462.42566256656 209534.34920995723, 277462.8054440634 209525.62252491352, 277470.1872076968 209451.67632189812, 277472.3485704593 209437.0327809843, 277476.5894221126 209416.53908898425, 277478.20404004445 209409.85069786833, 277480.3499791677 209408.24694428977, 277486.56088108296 209407.80005289812, 277488.4855223672 209407.75314374897, 277493.81320209533 209389.30145984615, 277493.3961337582 209378.26677924237))"
activetravel_routesection_approvedroutes.489,or_cycle_nonseg,"Cycle route (on road, not segregated)",Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((277492.6986237881 209402.4374231791, 277521.30412761617 209409.12815887906, 277513.78442031227 209428.81520208938, 277513.2127848162 209441.83161916328, 277524.5497954708 209457.2174293066, 277522.5994516251 209462.28860882338, 277522.0144528704 209462.59837950947))"
activetravel_routesection_approvedroutes.490,tf_shared_away,Shared use footpath/cycle track (away from road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((277679.75895551237 209693.15331604815, 277663.3089599605 209681.41031922842, 277644.70896498766 209650.86532749928, 277634.1039678538 209630.94033290108, 277624.81897036376 209617.60533651127, 277620.3789715634 209606.380339553, 277612.9239735784 209594.80034268775, 277595.40397831454 209571.92034888605, 277582.9639816778 209558.3203525715, 277556.66398878675 209518.6103633251, 277546.38899156364 209499.98536836816, 277522.22899809387 209461.95537867025, 277521.738998226 209458.4103796329, 277523.61499771837 209455.7203803609))"
activetravel_routesection_approvedroutes.492,tf_shared,Shared use footpath/cycle track (alongside road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((277705.25394861784 209703.86431314907, 277782.0589278472 209735.20830466977))"
activetravel_routesection_approvedroutes.493,tf_shared_away,Shared use footpath/cycle track (away from road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((277781.93159485626 209735.1104170946, 277812.275353762 209740.2824895907, 277851.03846865316 209750.56897034752, 277888.13847212266 209762.11954042735, 277899.2304333005 209767.46393368067, 277913.86143017997 209760.01718488237, 277948.2958943727 209754.11605027906, 277980.1003325494 209746.25201721716, 278002.97948251397 209736.8318693047, 278030.7536626463 209733.79383748496, 278062.83526531537 209712.92192842305, 278086.8990181708 209703.473379541, 278103.79960173636 209691.83469383622, 278127.8778482178 209682.97696359223, 278146.4834684161 209668.34208937117, 278176.918310258 209652.82953640097, 278194.1251487081 209629.3637796605, 278213.9870885091 209617.65355960012, 278233.7720416094 209627.22112927464, 278239.1731439903 209630.04525568133, 278269.99467580015 209630.48068179435, 278290.32876284164 209638.26214297756, 278301.0307602333 209639.77597731928, 278347.92881954275 209692.42069669702, 278362.46954206517 209705.6614309011, 278369.6040644197 209706.67074405897, 278374.0412325972 209694.1526653531, 278401.9729562067 209697.6137258063, 278415.8499229078 209707.91573033924, 278446.16447384405 209711.91035200126, 278467.94700938923 209755.11616563046, 278491.6047223159 209753.3621978489, 278502.1636195915 209748.9700835289))"
activetravel_routesection_approvedroutes.494,tf_shared,Shared use footpath/cycle track (alongside road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((278502.31169531617 209748.96655148861, 278520.81133618223 209754.4291570456, 278535.11406099994 209759.68187511608, 278549.78602308256 209766.12353982264, 278554.07019176136 209759.51927238336, 278558.88593388477 209762.65327556885, 278570.8467983848 209779.50257832825, 278578.27727107296 209805.03037726425, 278582.86643791967 209811.05082932877))"
activetravel_routesection_approvedroutes.495,tf_shared_away,Shared use footpath/cycle track (away from road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((278582.8735780242 209811.34614894644, 278624.1172463292 209801.78085311392))"
activetravel_routesection_approvedroutes.496,or_cycle_nonseg,"Cycle route (on road, not segregated)",Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((278624.25690285454 209801.56358382606, 278632.34364637395 209805.20960507746))"
activetravel_routesection_approvedroutes.497,tf_segregated_away,Segregated footpath/cycle track (away from road),Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((278842.31427665916 210097.78458205936, 278846.22280493536 210097.09941775433, 278848.4048208049 210098.5241516792))"
activetravel_routesection_approvedroutes.498,n/a,n/a,Pow-Yst-C0020,"Ystradgynlais:Pow-Yst-C0020 - Woodland Industrial Park to  Pantyffynon Road, Ystradgynlais",,"MULTILINESTRING ((278796.1449443457 209900.79873040185, 278795.3025140566 209915.0020431404))"
